atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge
0,6,0,3,4,0,0,2,1,1,12.011,0.15953034100268254
1,6,0,2,4,0,0,0,0,2,12.011,0.09906639178516113
2,8,0,2,4,0,0,0,0,0,15.999,-0.28295178197940385
3,15,0,4,4,0,0,0,1,0,30.974,0.47185923902497584
4,8,0,1,3,0,0,0,0,0,15.999,-0.22811573216615202
5,8,0,1,4,0,0,0,0,1,15.999,-0.302493280978392
6,8,0,2,4,0,0,0,0,0,15.999,-0.2856744169745546
7,6,0,2,4,0,0,0,0,2,12.011,0.0708092457307307
8,6,0,2,4,0,0,0,0,2,12.011,0.01655901295458745
9,7,0,1,4,0,0,0,0,2,14.007,-0.32823384187988364
10,8,0,2,3,0,0,0,0,0,15.999,-0.45621842036133037
11,6,0,3,3,0,0,0,0,0,12.011,0.3057658216009196
12,6,0,2,4,0,0,0,0,2,12.011,0.045516238407291715
13,6,0,2,4,0,0,0,0,2,12.011,-0.042783117609207943
14,6,0,2,4,0,0,0,0,2,12.011,-0.05274782226163406
15,6,0,2,4,0,0,0,0,2,12.011,-0.0532796220319439
16,6,0,2,4,0,0,0,0,2,12.011,-0.053010843096471874
17,6,0,2,4,0,0,0,0,2,12.011,-0.04982501542606592
18,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738461365
19,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614781
20,6,0,2,3,0,0,0,0,1,12.011,-0.08853928216145976
21,6,0,2,4,0,0,0,0,2,12.011,-0.03507346876911375
22,6,0,2,4,0,0,0,0,2,12.011,-0.04982518931521081
23,6,0,2,4,0,0,0,0,2,12.011,-0.05302112295305338
24,6,0,2,4,0,0,0,0,2,12.011,-0.05355769374956196
25,6,0,2,4,0,0,0,0,2,12.011,-0.056171482041511185
26,6,0,1,4,0,0,0,0,3,12.011,-0.06538238175449311
27,8,0,1,3,0,0,0,0,0,15.999,-0.25228433694092306
28,6,0,2,4,0,0,0,0,2,12.011,0.1305566763231715
29,8,0,2,3,0,0,0,0,0,15.999,-0.4616281734359622
30,6,0,3,3,0,0,0,0,0,12.011,0.30541557304048067
31,6,0,2,4,0,0,0,0,2,12.011,0.045503081092782956
32,6,0,2,4,0,0,0,0,2,12.011,-0.04278333650097684
33,6,0,2,4,0,0,0,0,2,12.011,-0.0527478239612063
34,6,0,2,4,0,0,0,0,2,12.011,-0.05327962203832768
35,6,0,2,4,0,0,0,0,2,12.011,-0.053010843096483504
36,6,0,2,4,0,0,0,0,2,12.011,-0.049825015426065926
37,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738461364
38,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215613828
39,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614884
40,6,0,2,4,0,0,0,0,2,12.011,-0.0350734673904721
41,6,0,2,4,0,0,0,0,2,12.011,-0.049825017035991674
42,6,0,2,4,0,0,0,0,2,12.011,-0.053011064901440766
43,6,0,2,4,0,0,0,0,2,12.011,-0.053295196138035676
44,6,0,2,4,0,0,0,0,2,12.011,-0.053315847237370526
45,6,0,2,4,0,0,0,0,2,12.011,-0.05356864125486327
46,6,0,2,4,0,0,0,0,2,12.011,-0.056171667057600655
47,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322278243
48,8,0,1,3,0,0,0,0,0,15.999,-0.25229764155829826
